id,weibo_content,weibo_place,publish_time,publish_tool,up_num,retweet_num,comment_num
20,今天是第33个 #国际志愿者日# ，有幸作为 @北京大学人民医院 的医务志愿者，我在从艺之余抽空到医院看望患者并提供一些帮助，通过为他人带来的快乐与帮助，内心也获得了莫大的慰籍，愿和大家在适当的时候、合适的条件下一起去尝试做志愿者，用爱心给人帮助，也用点滴努力温暖我们的世界。[good][握手] 全,无,2018-12-05 08:18,iPhone 7 Plus,5296,1013,19
21,@人民网 、 @新华网 、 @中国新闻网 、 @北青网 、 @凤凰网 、 @澎湃新闻 、扬眼、 @北京青年报 、 @扬子晚报 等媒体一并衷心感谢[作揖][握手][祈祷],无,2018-12-04 19:59,iPhone 7 Plus,3336,202,14
22,淮安是我的梦里老家，我曾写过一篇《我的梦里老家》的文章刊发于2012年1月8日《淮海晚报》。 我写淮安：我的梦里老家,无,2018-12-04 16:52,微博 weibo.com,3029,355,10
23,由@腾讯视频娱乐 、 @yoo视频 出品的《幸福+》第三期上线，感谢拍摄团队的辛勤工作。《幸福+》六小龄童：苦练猴戏一角一人生,无,2018-12-04 12:44,iPhone 7 Plus,1984,340,6
24,吴承恩故居纪念馆的声明：@淮安报哥  @淮安发布 @魅力淮安 @淮安那些事 @淮安身边事 http://t.cn/Ey27Kh3,无,2018-12-03 17:29,iPhone 7 Plus,6181,4033,13
25,@西游记摄像师王崇秋 老师的新书《1982版西游记拍摄档案》于今天正式上线出售，此书沿着央视版《西游记》整个拍摄脉络本身所写，首次披露了很多第一手资料，包括剧照、工作照、定妆照、剧组 往来信件、场记单、分镜头本、美工和服装设计图等等，希望此书赢得西游记迷们的支持与喜爱。《1982版西游记拍 全,无,2018-12-03 14:49,iPhone 7 Plus,2743,443,6
26,#国际残疾人日# 今天是“国际残疾人日”，作为北京联合大学特殊教育学院的爱心大使，希望有越来越多的社会人士关注、关心残障人士事业发展，有更多社会机构参与到残障人士服务项目中去，让残障人士更进一步融入社会。,无,2018-12-03 08:05,iPhone 7 Plus,2580,338,5
27,音情交融，神形兼备！[握手][good][耶]《西游记》里的配音演员们,无,2018-12-02 14:16,iPhone 7 Plus,2671,117,7
28,“永远的大哥”章金彦今天上午在他的出生、病逝地大上海安葬[作揖]衷心地感谢他为“章氏猴戏”及西游文化的弘扬作出的重大贡献……仪式结束回程时老天亦落泪[祈祷][祈祷][祈祷][泪][泪][泪],无,2018-12-02 12:49,iPhone 7 Plus,7161,523,13
29,《法制晚报》是一份受到广大北京地区读者喜爱的报纸，我是《法制晚报》的老朋友、热心读者，多次接受该报记者朋友的采访，其中记者寿鹏寰女士是采访次数最多的，2017年3月30日我应邀还在《法制晚报》社讲演。得知《法制晚报》将于2019年1月1日起休刊，感慨良多…… 感谢贵报多年来对我的支持与关注，衷 全,无,2018-12-02 08:28,iPhone 7 Plus,2707,178,2
30,[good][握手][耶]@刘国梁 刘国梁当选新一届中国乒协主席,无,2018-12-01 11:19,iPhone 7 Plus,3013,161,1
31,今天是第31个 #世界艾滋病日# ，今年我国的宣传主题是“主动检测，知艾防艾，共享健康”。作为北京市红十字会的预防艾滋病形象大使，希望全社会行动起来，提高对艾滋病流行及防治的认识，倡导通过检测知晓感染状况，采取治疗和预防措施控制艾滋病。[耶][握手][祈祷],无,2018-12-01 08:07,iPhone 7 Plus,3370,264,3
32,《绝艺芳华》（宁夏人民出版社．马青著）：京剧界一度硕果仅存的女武生、“女猴王”，我正在拜读并推荐的好书[good][握手][作揖],无,2018-11-29 09:26,iPhone 7 Plus,2803,275,4
33,央视版《西游记》中我饰演的孙悟空多年来受到观众们的支持与肯定，其中也得益于国宝级影视化装大师王希钟先生的塑型创作，他为这个人物的成功演绎立下了不可替代的汗马功劳。今天是王希钟先生90岁生日，衷心祝愿王老先生：生日快乐、健康长寿！[握手][作揖][祈祷],无,2018-11-27 08:14,iPhone 7 Plus,13774,461,11
34,今天上午与忘年交戈宝栋先生30年后相聚于其公子在北京恭王府举行的“墨彩生辉：戈晓湘画展”上，不胜感慨与荣幸[good][耶][作揖],无,2018-11-23 11:50,iPhone 7 Plus,3918,115,3
35,@环球网 [耶]我们有幸赶上了好时代、新时代，衷心地感谢观众朋友们多年的支持与关注[good][作揖][祈祷],无,2018-11-22 10:53,iPhone 7 Plus,6584,591,6
36,"转发理由:自取其辱
原始用户: 共青团中央
转发内容: 我们欢迎外国企业来华投资兴业，同时在华经营的外国企业也应当尊重中国，尊重中国人民。这也是任何企业到其他国家投资兴业、开展合作最起码的遵循。@DolceGabbana",无,2018-11-21 18:46,iPhone 7 Plus,5310,252,2
37,学照相：北京十里河文化街民俗铜组像[good][握手][耶],无,2018-11-20 14:23,iPhone 7 Plus,3757,139,4
38,今天是 #国际儿童日# ，这是为儿童设立的行动日，也是充分体现儿童参与的节日，让我们共同保护儿童权利，从小树立正确的人生观，为每个孩子创造更美好的未来。[good][握手][耶],无,2018-11-20 08:17,iPhone 7 Plus,5648,240,3
39,今天（农历十月十二）在福建、广东等不少省市及地区认为是齐天大圣的诞生日，每年都会在这天举行隆重的齐天大圣生日庆典，闽北、闽西北等很多地方都有齐天大圣庙，家家户户都供奉有孙悟空像，还有各种木雕及不同材质的孙悟空工艺品展示。[作揖][握手][祈祷],无,2018-11-19 08:18,iPhone 7 Plus,4222,210,3
40,"转发理由:[中国]中国，一点都不能少！
原始用户: 人民日报
转发内容: 毋庸置疑，你是最好的。#中国一点都不能少#",无,2018-11-18 12:45,iPhone 7 Plus,10317,240,4
41,获提名已不敢当 [祈祷][握手][耶],无,2018-11-18 08:19,iPhone 7 Plus,14827,485,11
42,@人民网 ：《大圣轮回之大闹天宫》全新宣传片即将登录湖南卫视[耶][握手][good]@四九游戏  《大圣轮回之大闹天宫》全新宣传片即将登录湖南卫视,无,2018-11-17 10:49,iPhone 7 Plus,3042,355,3
43,1961年的今天，毛泽东主席在10月10日看了由浙江绍剧团(父亲六龄童、伯父七龄童、二哥小六龄童等同仁们）演出的绍剧舞台剧《孙悟空三打白骨精》后挥毫写下了诗词《七律·和郭沫若同志》，“金猴奋起千钧棒，玉宇澄清万里埃”的光辉诗句已经成为经典绝唱。[作揖][耶][祈祷],无,2018-11-17 08:31,iPhone 7 Plus,3884,146,1
44,[作揖][耶][祈祷] @品牌联盟  中国品牌40年40人候选人：六小龄童,无,2018-11-15 20:49,iPhone 7 Plus,2701,126,3
45,为我的母校：浙江绍兴市第一初级中学的小学妹的书法点赞[good][握手][耶] 为校名题字的居然是14岁学生！她一提笔，你就输了,无,2018-11-14 19:49,iPhone 7 Plus,2829,87,2
46,@人民网 [good][握手][耶],无,2018-11-14 17:37,iPhone 7 Plus,3045,151,1
47,我们取经回来了！《敢问路在何方》？路在脚下！[good][耶][祈祷],无,2018-11-14 16:49,iPhone 7 Plus,11841,587,9
48,[good][耶][拳头] 国家网信办“亮剑”自媒体乱象 依法严管将成常态,无,2018-11-12 23:01,iPhone 7 Plus,1661,142,1
49,河北新闻网[good][握手][耶]六小龄童现身保定讲述“猴王精神”,无,2018-11-12 21:19,iPhone 7 Plus,2320,92,0
50,从孙悟空到玄奘大师：《北广人物》[good][握手][耶],无,2018-11-12 18:06,iPhone 7 Plus,2566,77,1
51,中国野生动物保护协会成立三十五周年暨协会形象宣传片首发盛典今天上午在北京隆重举行……[good][握手][耶],无,2018-11-12 13:43,iPhone 7 Plus,2899,81,3
52,中国唐尧网[good][握手][耶]@长江文艺出版社 @北京长江新世纪 @儒意影业  @贰零壹陆影视传媒 @游福  @行走的禅文化 http://t.cn/EAK07N7,无,2018-11-11 09:49,iPhone 7 Plus,2157,68,1
53,明天，国民购物狂欢节双11就要来了。每到这时候，我是既感慨又激动。我担忧大家买到不好的商品，但同时又很开心有大圣车服这么一个优秀的平台，在双11为百万用户提供省心省钱的买车养车服务 。希望这次双11大家一如既往在大圣车服买到称心如意的商品和服务。 @大圣车服官微,无,2018-11-10 11:30,iPhone 7 Plus,3191,199,1
54,下午闲暇参观保定直隶总督署博物馆、古莲花池[good][握手][作揖] @直隶总督署博物馆ZLZDS,无,2018-11-09 21:01,iPhone 7 Plus,3769,110,0
55,今天是 #119全国消防日# ，作为昌平消防宣传形象大使，希望大家在好好学习的同时要加强预防灾害的意识和掌握消防安全技能，提高预防灾害的能力，提高自救逃生能力，让预防守护幸福，因为生命没有彩排。@中国消防 珍惜-六小龄童,无,2018-11-09 08:20,iPhone 7 Plus,2547,77,0
56,"转发理由:恭祝记者朋友们节日快乐！[good][握手][作揖]
原始用户: 人民网
转发内容: 【今天，一起发条微博，向记者们致敬！】他们，酷暑寒冬，风雨兼程。不回避晦暗，更记录光明；不回避凉意，更拥抱温暖。还有我们，配图小编，一直在这里，给你新闻，陪你互动。今天，第19个#记者节#。转发微博，向新闻人说声：辛苦了！",无,2018-11-08 08:34,iPhone 7 Plus,2711,113,0
57,"转发理由:工匠精神是对所从事的工作锲而不舍，对质量的要求不断提升，精益求精，追求完美和细节，打造极致。我对艺术追求如此，广汽对汽车制造工艺的追求也如此  @大圣车服官微
原始用户: 大圣车服官微
转发内容: 广汽集团始终秉承“匠于心，品于行”的工匠精神，不断改进制造工艺和产品性能，精益求精、不懈创新，努力推进中国制造的“品质革命”，给消费者带来更具品质的产品体验和生活，同样也是六小龄童老师对艺术的追求。@六小龄童",无,2018-11-07 16:05,iPhone 7 Plus,3369,118,1
58,父亲说：观众是我的良师益友。我说：网民是我的亲朋同道！今天立冬，希望大家注意防寒保暖，感谢大家多年来对我的支持与理解。恭祝海内外的网民朋友们吉祥如意、心想事成！[作揖][握手][祈祷],无,2018-11-07 12:17,iPhone 7 Plus,6284,172,0
59,"@人民网 （今天）：82版《西游记》凭啥秒杀""大片"" [祈祷][握手][耶]这些细节告诉你82版《西游记》凭啥秒杀″大片″",无,2018-11-06 09:33,iPhone 7 Plus,3422,326,2
60,《人民日报》海外版(今天）：美猴王金秋回故乡．携《猴王世家》畅谈戏曲文化[good][握手][耶]@人民日报海外版-海外网 @北京长江新世纪 @长江文艺出版社 @西西弗书店,无,2018-11-05 12:03,iPhone 7 Plus,2327,98,0
61,"转发理由:转发微博
原始用户: 人民日报
转发内容: #首届中国国际进口博览会#【习近平：弱肉强食、赢者通吃是一条越走越窄的死胡同，包容普惠、互利共赢才是越走越宽的人间正道】“一花独放不是春，百花齐放春满园。”追求幸福生活是各国人民共同愿望。人类社会要持续进步，各国就应该坚持要开放不要封闭，要合作不要对抗，要共赢不要独占，在经济全球化 全",无,2018-11-05 10:56,iPhone 7 Plus,1213,58,0
62,继中国教育电视台四套、厦门卫视、四川卫视、陕西卫视、北京电视台纪实频道、旅游卫视、云南卫视之后， @广西卫视 将于11月5日6:45  《纪录片》栏目播出我出任总导演并饰演玄奘大师的电视纪录片《重走玄奘路》，该片在第六届温哥华国际华语电影节获得最佳纪录片大奖，我本人获得最佳纪录片导演奖、最佳艺术成就奖。网民朋友及观众可择时观看，弘扬玄奘精神，传承西游文化。摄影：@光影先生1981 。 @行走的禅文化 @游福 @行者李一健,无,2018-11-04 20:01,iPhone 7 Plus,3175,140,1
